species,mean_brain,diet_category,per_fruit,mean_groupsize,social_system,mating_system,tool_type,body_weight,infraorder,superfamily,family,prey,prey_order,prey_family,use_tools,genus,meat_eater
mandrillus_leucophaeus,185.96200000000002,Frug,NA,96.5,polygynandry,polygynandry,Anecdotal evidence of captive individuals using tools to perform physical maintenance,16251.65,haplorrhini,simmiformes,cercopithecidae,"amphibia, mammalia","anura, rodentia","NA, Muridae",1,mandrillus,1
mandrillus_sphinx,160.87121070833334,Frug,92,95,polygynandry,polygynandry,Anecdotal evidence of captive individuals using tools,19842.53,haplorrhini,simmiformes,cercopithecidae,"amphibia, squamata, mammalia","anura, testudines, artiodactyla, eulipotyphla, rodentia","NA, Testudinidae, Bovidae, Soricidae, Muridae",1,mandrillus,1
microcebus_berthae,NA,NA,NA,NA,NA,NA,NA,NA,strepsirrhini,lemuriformes,lemuridae,squamata,squamata,"Chamaeleonidae, Gekkonidae",0,microcebus,1
microcebus_murinus,1.8344578816470587,Om,51,5.1,solitary,spatial polygyny,NA,63.93333333333334,strepsirrhini,lemuriformes,lemuridae,"amphibia, squamata","anura, squamata","NA, Chamaeleonidae, Gekkonidae",0,microcebus,1
microcebus_rufus,1.778192126666667,Om,NA,2.25,solitary,spatial polygyny,NA,48.39,strepsirrhini,lemuriformes,lemuridae,NA,NA,NA,0,microcebus,0
miopithecus_talapoensis,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,"aves, mammalia","NA, rodentia",NA,0,miopithecus,1
miopithecus_talapoin,NA,Om,54,75.91666666666667,polygynandry,polygynandry,NA,1236.9533333333331,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,miopithecus,0
mirza_coquereli,6.004526759000001,Om,NA,1.6666666666666667,solitary,spatial polygyny,NA,315.23333333333335,strepsirrhini,lemuriformes,lemuridae,"amphibia, squamata, aves, mammalia","anura, squamata, NA, rodentia, primates","NA, Chamaeleonidae, Cheirogaleidae",0,mirza,1
nasalis_larvatus,96.60570132405162,Fol,23,11.16,polygynandry,harem polygyny,NA,13441.825,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,nasalis,0
nomascus_concolor,NA,Frug,NA,3.5,pair,monogamy,NA,6631.735000000001,haplorrhini,simmiformes,hylobatidae,aves,NA,NA,0,nomascus,1
nomascus_gabriellae,122.93866666666668,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,hylobatidae,NA,NA,NA,0,nomascus,0
nycticebus_bengalensis,13.977457370148974,NA,NA,NA,NA,NA,NA,NA,strepsirrhini,lorisiformes,lorisidae,NA,NA,NA,0,nycticebus,0
nycticebus_coucang,10.859374395350098,Om,60,1,solitary,spatial polygyny,NA,838.35,strepsirrhini,lorisiformes,lorisidae,aves,NA,NA,0,nycticebus,1
nycticebus_pygmaeus,7.644628129666667,Om,NA,NA,solitary,spatial polygyny,NA,413.7733333333333,strepsirrhini,lorisiformes,lorisidae,NA,NA,NA,0,nycticebus,0
otolemur_crassicaudatus,11.250747505968995,Om,27,2.25,solitary,spatial polygyny,NA,1367.2033333333331,strepsirrhini,lorisiformes,lorisidae,"squamata, aves","squamata, passeriformes","NA, Calyptomenidae, Monarchidae, Muscicapidae, Nicatoridae, Pycnonodidae",0,otolemur,1
otolemur_garnettii,11.239041368840237,Om,NA,NA,solitary,spatial polygyny,NA,1055.585,strepsirrhini,lorisiformes,lorisidae,NA,NA,NA,0,otolemur,0
pan_paniscus,338.69933333333336,Frug,NA,67.5,polygynandry,polygynandry,yes,37522.475,haplorrhini,simmiformes,hominidae,"aves, mammalia","NA, artiodactyla, chiroptera, eulipotyphla, primates, rodentia","NA, Bovidae, Suidae, Tragulidae, Cercopithecidae, Colobidae, Galagidae, Anomaluridae, Sciuridae",1,pan,1
