infraorder,superfamily,family,species,prey,prey_order,prey_family,parvorder
haplorrhini,simmiformes,cebidae,saimiri_boliviensis,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_cassaquiarensis,vertebrata,NA,NA,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_oerstedii,mammalia,chiroptera,Phyllostomidae,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_sciureus,amphibia,anura,Hylidae,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_sciureus,amphibia,anura,Hylidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,amphibia,anura,Hyelidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,squamata,reptilia,Squamata,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,columbiformes,Columbidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,opisthocomiformes,Opithocomidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Cardinalidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Grallariidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Icteridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Icteridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Thamnophilidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Thamnophilidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Thraupidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Thraupidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Trogloditidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,pelicaniformes,Ardeidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,piciformes,Picidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,psittaciformes,Psittacidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,psittaciformes,Psittacidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,tinnaniformes,Tinanidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,chiroptera,Emballanuridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,didelphimorphia,Didelphidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,primates,Aotidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,primates,Pitheciidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,primates,Pitheciidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,Cricetidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,Muridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,Muridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,Sciuridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,Sciuridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_flavius,squamata,squamata,Iguanidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_flavius,squamata,squamata,Teiidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_flavius,squamata,squamata,Teiidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_libidinosus,squamata,squamata,Colubridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_libidinosus,squamata,squamata,Tropiduridae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_nigritus,aves,pelicaniformes,Ardeidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_nigritus,aves,piciformes,Picidae,platyrrhine
haplorrhini,simmiformes,cebidae,sapajus_xanthosternos,mammalia,primates,Callitrichidae,platyrrhine
haplorrhini,simmiformes,pitheciidae,cacajao_calvus,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,pitheciidae,cacajao_melanocephala,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,pitheciidae,cacajao_ouakary,squamata,chelonidae,NA,platyrrhine
haplorrhini,simmiformes,pitheciidae,callicebus_coimbrai,aves,passeriformes,Turdidae,platyrrhine
haplorrhini,simmiformes,cercopithecidae,allenopithecus_nigroviridis,teleostei,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercocebus_galeritus,amphibia,anura,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_ascanius,aves,columbiformes,Columbidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_campbelli,amphibia,anura,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_cephus,aves,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_petaurista,amphibia,anura,Hylobatidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_diana,amphibia,anura,Hylobatidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_lhoesti,aves,"birds, unid. spp. e125",NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,squamata,squamata,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,galliformes,Numididae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,Cisticolidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,Cisticolidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,Locustellidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,Pycnonotidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,strigiformes,Strigidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,primates,Galagidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,rodentia,Muridae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,rodentia,Sciuridae,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,rodentia,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,cercopithecus_neglectus,teleostei,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_pygerythrus,aves,passeriformes,Ploceidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_pygerythrus,aves,pelicaniformes,Ardeidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,squamata,squamata,Agamidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,squamata,squamata,Chamaeleonidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,aves,bucerotiformes,Bucerotidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,aves,columbiformes,Columbidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,aves,passeriformes,Passeridae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,mammalia,lagomorpha,Leporidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,mammalia,rodentia,Muridae,catarrhine
haplorrhini,simmiformes,cercopithecidae,erythrocebus_patas,squamata,squamata,Agamidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,erythrocebus_patas,squamata,squamata,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,amphibia,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,squamata,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,aves,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,mammalia,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,vertebrata,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fascicularis,teleostei,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fascicularis,amphibia,anura,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,amphibia,anura,Hylidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,amphibia,anura,Ranidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,amphibia,anura,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,squamata,squamata,Scincidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,squamata,squamata,Gekkonidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,squamata,squamata,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,aves,passeriformes,Zosteropidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,aves,cuculiformes,Cuculidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,aves,galliformes,Phasianidae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,aves,NA,NA,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,mammalia,rodentia,Sciuridae,catarrhine
haplorrhini,simmiformes,cercopithecidae,macaca_nemestrina,mammalia,rodentia,Muridae,catarrhine
